AccommodationID,AccommodationName,AccommodationType,StarRating,DestinationID,PriceIndex,AvgRating
97,Hilton Reykjavik,Luxury Hotel,4,20,5.06,5.0
98,Sarovar Reykjavik,Business Hotel,4,20,3.19,4.6
99,Novotel Reykjavik,Hostel,2,20,0.77,3.3
100,Marriott New York,Hostel,2,21,0.735,4.2
101,Hilton New York,Resort,4,21,4.305,4.5
102,Marriott New York,Serviced Apartment,4,21,2.625,4.6
103,Hyatt New York,Business Hotel,4,21,3.045,4.3
104,Sarovar Flagstaff,Homestay,2,22,1.02,4.5
105,Accor Flagstaff,Business Hotel,3,22,2.465,4.4
106,Fern Flagstaff,Villa,5,22,3.315,4.5
107,Taj Flagstaff,Hostel,1,22,0.595,3.4
108,Hyatt Flagstaff,Budget Hotel,2,22,1.36,3.7
109,Zostel Toronto,Hostel,2,23,0.577,4.1
110,Ibis Toronto,Villa,4,23,3.217,5.0
111,Fern Toronto,Business Hotel,3,23,2.392,3.7
112,Sarovar Toronto,Serviced Apartment,3,23,2.062,4.2
113,Sarovar Toronto,Boutique Hotel,4,23,2.145,3.9
114,Hyatt Cancun,Homestay,3,24,0.84,4.4
115,Radisson Cancun,Villa,4,24,2.73,4.9
116,Ibis Cancun,Business Hotel,3,24,2.03,3.5
117,Leela Cancun,Luxury Hotel,5,24,3.22,4.7
118,Zostel Rio de Janeiro,Business Hotel,3,25,1.885,4.8
119,Marriott Rio de Janeiro,Homestay,2,25,0.78,4.1
120,Radisson Rio de Janeiro,Serviced Apartment,4,25,1.625,4.4
121,Hilton Rio de Janeiro,Budget Hotel,3,25,1.04,5.0
122,Ibis Cusco,Budget Hotel,3,26,1.08,4.2
123,Radisson Cusco,Serviced Apartment,3,26,1.688,4.5
124,Marriott Cusco,Luxury Hotel,5,26,3.105,4.2
125,Novotel Cusco,Resort,4,26,2.768,4.5
126,Hilton Cusco,Hostel,2,26,0.472,3.5
127,Novotel Cusco,Boutique Hotel,4,26,1.755,4.4
128,Taj Cape Town,Luxury Hotel,4,27,3.45,4.4
129,Accor Cape Town,Budget Hotel,3,27,1.2,3.8
130,Marriott Cape Town,Business Hotel,3,27,2.175,4.9
131,Hilton Cape Town,Villa,5,27,2.925,5.0
132,Local Heritage Cape Town,Serviced Apartment,4,27,1.875,4.5
133,Marriott Arusha,Serviced Apartment,4,28,2.25,4.5
134,Leela Arusha,Villa,4,28,3.51,4.1
135,Radisson Arusha,Boutique Hotel,4,28,2.34,4.3
136,Fern Arusha,Budget Hotel,2,28,1.44,3.4
137,Leela Cairo,Luxury Hotel,4,29,2.875,4.7
138,Treebo Cairo,Serviced Apartment,3,29,1.562,3.9
139,Local Heritage Cairo,Villa,5,29,2.438,4.3
140,Ibis Cairo,Hostel,2,29,0.438,3.5
141,Taj Cairo,Business Hotel,3,29,1.812,3.9
142,Coastal Retreat Cairo,Resort,5,29,2.562,4.6
143,Fern Sydney,Serviced Apartment,4,30,2.5,4.9
144,Taj Sydney,Villa,4,30,3.9,4.2
145,Fern Sydney,Hostel,2,30,0.7,3.0
146,Treebo Sydney,Resort,5,30,4.1,4.5
147,Accor Queenstown,Villa,5,31,3.705,4.2
148,Zostel Queenstown,Business Hotel,4,31,2.755,4.9
149,Hyatt Queenstown,Serviced Apartment,3,31,2.375,4.2
150,Novotel Queenstown,Luxury Hotel,5,31,4.37,4.7
151,Leela Queenstown,Homestay,3,31,1.14,4.8
152,Ibis Tokyo,Hostel,1,32,0.682,4.2
153,Ibis Tokyo,Homestay,2,32,1.17,4.1
154,Treebo Tokyo,Business Hotel,4,32,2.827,4.9
155,Fern Tokyo,Resort,5,32,3.997,4.1
