booking_id,rental_company,pickup_country,customer_segment,vehicle_class,booking_date,pickup_year,pickup_month,lead_time,rental_days,daily_rate,total_revenue,adults,children,is_cancelled,payment_type,loyalty_tier,insurance_opted,child_seat_requested
DN700033,CityWheels,ARE,Online TA,SUV,2023-11-13,2024,March,111,4,3227.86,12911.44,2,0,0,Corporate Billing,None,0,0
DN700034,CityWheels,JPN,Online TA,SUV,2026-04-01,2026,June,63,7,2758.18,19307.26,2,0,1,Credit Card,Gold,0,1
DN700035,RoadKing,ARE,Online TA,SUV,2026-07-30,2026,October,63,9,3113.48,28021.32,3,0,1,Corporate Billing,None,0,0
DN700036,CityWheels,IND,Online TA,Hatchback,2026-03-15,2026,May,60,4,1488.79,5955.16,1,0,0,Debit Card,None,0,0
DN700037,PrimeCars,JPN,Direct,Hatchback,2026-05-21,2026,June,14,10,1914.51,19145.1,1,3,0,Credit Card,Silver,0,1
DN700038,RoadKing,USA,Online TA,SUV,2025-06-03,2025,June,5,7,2546.68,17826.76,5,0,1,Debit Card,None,0,1
DN700039,RoadKing,IND,Loyalty Club,SUV,2025-06-15,2025,September,81,5,3967.34,19836.7,2,0,0,Corporate Billing,Silver,0,0
DN700040,EcoRent,GBR,Offline TA/TO,Sedan,2024-03-25,2024,July,105,9,2813.13,25318.17,4,3,0,UPI,Platinum,0,0
DN700041,EcoRent,IND,Corporate,SUV,2025-11-24,2026,February,70,3,4152.59,12457.77,3,0,1,Corporate Billing,None,1,0
DN700042,EcoRent,IND,Direct,Sedan,2026-04-23,2026,June,65,4,2425.06,9700.24,2,0,0,UPI,None,0,0
DN700043,RoadKing,MYS,Direct,Sedan,2026-08-29,2026,October,52,4,2791.33,11165.32,4,0,0,Credit Card,Gold,0,0
DN700044,RoadKing,DEU,Online TA,Premium SUV,2024-12-31,2025,January,11,8,2479.9,19839.2,5,0,0,Debit Card,None,1,0
DN700045,DriveNow,IND,Online TA,Sedan,2025-05-01,2025,June,43,8,1771.29,14170.32,1,0,0,Corporate Billing,Silver,0,0
DN700046,RoadKing,ARE,Corporate,Sedan,2025-10-28,2025,December,44,6,2287.84,13727.04,2,1,0,Debit Card,None,0,0
DN700047,DriveNow,GBR,Corporate,Hatchback,2025-06-30,2025,August,56,2,1381.72,2763.44,2,0,0,Credit Card,Silver,0,1
DN700048,RoadKing,IND,Direct,Sedan,2026-11-13,2026,December,40,2,2015.4,4030.8,2,0,0,UPI,None,0,1
DN700049,CityWheels,ARE,Direct,SUV,2026-03-19,2026,April,30,3,2554.57,7663.71,2,2,0,Credit Card,None,0,0
DN700050,CityWheels,DEU,Direct,Sedan,2026-08-07,2026,September,52,2,3359.75,6719.5,1,0,0,Credit Card,None,0,1
DN700051,PrimeCars,IND,Online TA,Sedan,2024-08-02,2024,August,8,7,2687.33,18811.31,3,0,0,Cash,None,1,0
DN700052,RoadKing,AUS,Corporate,Hatchback,2025-02-25,2025,April,49,6,1684.89,10109.34,3,1,0,Credit Card,None,0,0
DN700053,CityWheels,USA,Direct,Hatchback,2026-02-17,2026,March,22,5,1970.91,9854.55,1,0,0,Debit Card,None,0,0
DN700054,RoadKing,SGP,Corporate,SUV,2024-10-15,2024,November,19,5,1906.29,9531.45,1,0,0,Credit Card,Gold,0,0
DN700055,CityWheels,IND,Loyalty Club,Premium SUV,2024-06-15,2024,July,40,3,5507.32,16521.96,2,0,0,Credit Card,Silver,0,1
DN700056,EcoRent,ARE,Direct,Sedan,2025-06-25,2025,July,31,9,2402.69,21624.21,3,0,0,Debit Card,None,0,0
DN700057,PrimeCars,AUS,Direct,Hatchback,2024-09-01,2025,January,134,5,1517.5,7587.5,1,0,0,Credit Card,None,1,1
DN700058,DriveNow,ZAF,Online TA,Sedan,2024-02-17,2024,March,32,9,1766.43,15897.87,4,0,0,Credit Card,Platinum,0,0
DN700059,DriveNow,ARE,Corporate,Hatchback,2026-02-25,2026,May,76,1,1714.83,1714.83,4,0,0,Corporate Billing,None,1,1
DN700060,PrimeCars,ARE,Online TA,Hatchback,2026-11-12,2026,December,29,8,1369.15,10953.2,1,0,1,Debit Card,None,0,1
DN700061,DriveNow,FRA,Online TA,SUV,2023-12-26,2024,February,48,5,3835.58,19177.9,1,0,1,UPI,None,1,0
DN700062,DriveNow,ZAF,Online TA,Hatchback,2025-03-25,2025,May,49,5,1817.74,9088.7,2,3,1,Corporate Billing,None,1,0
DN700063,RoadKing,GBR,Offline TA/TO,Hatchback,2025-04-27,2025,July,82,8,2190.84,17526.72,1,0,0,UPI,Silver,1,0
DN700064,EcoRent,SGP,Corporate,Luxury,2023-11-16,2024,January,70,2,8856.57,17713.14,2,0,0,Corporate Billing,Platinum,1,0
DN700065,DriveNow,SGP,Direct,Van,2025-10-16,2025,December,71,1,3389.29,3389.29,2,0,1,Corporate Billing,Gold,1,0
DN700066,CityWheels,SGP,Direct,Sedan,2025-01-08,2025,February,44,5,1885.01,9425.05,2,2,0,Credit Card,None,0,0
DN700067,PrimeCars,IND,Offline TA/TO,Hatchback,2024-05-02,2024,May,3,5,1864.58,9322.9,1,0,0,Credit Card,None,1,0
DN700068,CityWheels,MYS,Corporate,Sedan,2024-11-06,2025,March,124,2,2454.83,4909.66,3,0,0,Debit Card,None,1,0
DN700069,DriveNow,DEU,Direct,Sedan,2024-01-24,2024,July,162,4,3115.55,12462.2,1,1,0,UPI,Silver,1,0
DN700070,CityWheels,AUS,Direct,SUV,2025-03-23,2025,April,16,5,4228.28,21141.4,2,1,0,Corporate Billing,Silver,0,1
DN700071,PrimeCars,GBR,Corporate,Van,2024-07-01,2024,July,25,8,3715.21,29721.68,1,0,0,Credit Card,Platinum,0,0
DN700072,PrimeCars,SGP,Corporate,Hatchback,2025-02-04,2025,June,135,7,1772.59,12408.13,2,0,0,UPI,None,1,0
DN700073,DriveNow,SGP,Offline TA/TO,Sedan,2025-05-22,2025,June,33,6,2925.51,17553.06,2,0,0,Corporate Billing,None,1,0
DN700074,RoadKing,SGP,Corporate,SUV,2023-12-04,2024,February,62,9,2028.35,18255.15,2,2,0,UPI,Gold,0,0
DN700075,CityWheels,IND,Corporate,SUV,2024-05-12,2024,June,35,4,2822.29,11289.16,2,0,0,Credit Card,None,0,0
DN700076,RoadKing,IND,Online TA,Hatchback,2024-12-05,2024,December,4,7,2024.85,14173.95,5,0,0,UPI,Gold,0,0
DN700077,RoadKing,SGP,Online TA,Sedan,2026-06-27,2026,July,21,6,2103.08,12618.48,5,0,0,Debit Card,None,0,1
DN700078,DriveNow,IND,Offline TA/TO,SUV,2025-04-08,2025,June,68,7,3402.66,23818.62,1,0,1,Debit Card,None,0,0
DN700079,CityWheels,JPN,Loyalty Club,Sedan,2025-07-13,2025,September,60,9,2482.55,22342.95,3,0,0,UPI,Platinum,0,0
DN700080,EcoRent,JPN,Corporate,Hatchback,2025-02-15,2025,June,107,3,1488.94,4466.82,2,0,0,UPI,Silver,0,1
DN700081,RoadKing,AUS,Online TA,Hatchback,2023-12-13,2024,March,81,5,1663.95,8319.75,2,0,0,Corporate Billing,None,0,0
DN700082,DriveNow,IND,Corporate,Hatchback,2025-10-20,2025,November,12,4,1443.32,5773.28,4,0,0,Credit Card,None,1,0
DN700083,CityWheels,IND,Direct,Van,2024-04-02,2024,June,64,2,4655.89,9311.78,1,0,0,UPI,Gold,0,0
DN700084,RoadKing,IND,Corporate,SUV,2026-03-31,2026,May,57,2,2848.14,5696.28,2,0,0,Credit Card,None,0,1
DN700085,EcoRent,USA,Direct,Luxury,2025-10-17,2026,January,77,4,6863.96,27455.84,4,2,0,UPI,Platinum,0,0
DN700086,CityWheels,IND,Corporate,SUV,2024-07-21,2024,August,18,6,3155.12,18930.72,2,0,0,Credit Card,None,1,0
DN700087,EcoRent,FRA,Corporate,Hatchback,2025-02-05,2025,February,11,9,1612.5,14512.5,2,0,0,UPI,None,1,0
DN700088,RoadKing,THA,Online TA,Premium SUV,2026-01-06,2026,April,91,13,3839.42,49912.46,5,0,0,UPI,None,1,0
DN700089,EcoRent,IND,Online TA,SUV,2025-05-07,2025,June,34,5,2174.99,10874.95,2,0,0,Credit Card,None,0,0
DN700090,RoadKing,IND,Corporate,Hatchback,2024-09-02,2024,September,25,13,1847.39,24016.07,3,0,0,Credit Card,Gold,0,0
DN700091,RoadKing,ARE,Corporate,Hatchback,2025-02-26,2025,May,68,3,1526.67,4580.01,2,0,0,UPI,None,0,1
DN700092,RoadKing,JPN,Offline TA/TO,Van,2024-09-27,2025,January,116,6,3850.12,23100.72,3,0,1,Credit Card,None,0,0
DN700093,DriveNow,IND,Direct,Sedan,2024-08-20,2024,October,49,3,2159.8,6479.4,2,0,0,UPI,None,0,0
DN700094,RoadKing,FRA,Online TA,Hatchback,2024-12-29,2025,April,98,2,1569.94,3139.88,1,0,0,Cash,Gold,0,1
DN700095,RoadKing,MYS,Offline TA/TO,Hatchback,2025-08-29,2025,December,110,4,2072.2,8288.8,2,0,0,Credit Card,None,0,0
DN700096,DriveNow,SGP,Offline TA/TO,Sedan,2026-09-06,2026,December,90,7,2927.32,20491.24,2,0,0,Credit Card,Gold,1,0
DN700097,PrimeCars,SGP,Direct,Van,2026-01-09,2026,March,58,5,4509.68,22548.4,2,0,0,Corporate Billing,Platinum,0,1
DN700098,PrimeCars,JPN,Corporate,Sedan,2026-05-23,2026,July,45,5,2767.91,13839.55,1,0,0,UPI,Silver,0,0
DN700099,CityWheels,GBR,Direct,Hatchback,2024-03-02,2024,April,53,9,1830.94,16478.46,2,0,0,UPI,None,0,0
DN700100,CityWheels,ARE,Corporate,Premium SUV,2026-09-19,2026,November,67,5,6484.64,32423.2,2,0,0,Debit Card,None,0,0
DN700101,RoadKing,DEU,Loyalty Club,Hatchback,2025-09-16,2025,October,22,7,1728.4,12098.8,2,0,0,Corporate Billing,None,0,0
DN700102,DriveNow,GBR,Loyalty Club,Premium SUV,2025-07-16,2025,August,22,7,4383.36,30683.52,3,0,0,Credit Card,Gold,0,0
DN700103,RoadKing,GBR,Online TA,Sedan,2025-12-27,2026,March,76,3,2499.29,7497.87,2,0,0,Debit Card,Platinum,0,0
DN700104,PrimeCars,IND,Corporate,Hatchback,2025-02-12,2025,May,95,4,1558.21,6232.84,1,0,0,Debit Card,Silver,0,0
DN700105,EcoRent,IND,Corporate,SUV,2025-06-17,2025,July,25,6,3422.18,20533.08,2,0,0,Credit Card,Silver,0,0
DN700106,EcoRent,DEU,Direct,Hatchback,2024-04-04,2024,May,40,9,1448.79,13039.11,2,2,0,Debit Card,None,0,0
DN700107,PrimeCars,IND,Corporate,Van,2025-07-22,2025,November,108,7,3232.4,22626.8,3,0,0,Credit Card,None,0,0
DN700108,PrimeCars,IND,Online TA,SUV,2025-08-25,2025,October,43,2,2488.74,4977.48,3,0,1,UPI,Gold,0,1
DN700109,EcoRent,IND,Loyalty Club,Hatchback,2025-05-12,2025,May,4,4,1612.33,6449.32,2,0,0,UPI,None,1,0
DN700110,PrimeCars,USA,Online TA,SUV,2025-03-16,2025,May,61,3,3661.26,10983.78,2,0,0,Cash,Gold,0,0
DN700111,CityWheels,AUS,Offline TA/TO,SUV,2025-08-17,2025,September,19,9,3764.44,33879.96,2,0,0,UPI,None,0,0
DN700112,PrimeCars,ARE,Direct,Sedan,2025-02-05,2025,April,57,5,2791.5,13957.5,2,0,0,Cash,None,0,1
DN700113,CityWheels,IND,Loyalty Club,Luxury,2026-08-19,2026,September,22,7,9369.19,65584.33,4,2,0,Credit Card,Silver,0,0
DN700114,EcoRent,IND,Direct,Sedan,2025-04-14,2025,May,32,9,2502.17,22519.53,1,0,0,Credit Card,Gold,0,0
DN700115,EcoRent,GBR,Loyalty Club,Hatchback,2023-09-21,2024,January,111,6,1733.45,10400.7,2,0,0,UPI,Gold,0,0
DN700116,DriveNow,IND,Online TA,Sedan,2024-12-23,2025,March,81,4,2660.34,10641.36,5,0,0,Debit Card,None,1,1
DN700117,PrimeCars,ZAF,Online TA,Premium SUV,2024-12-09,2025,January,30,5,5702.77,28513.85,5,0,0,Credit Card,None,0,0
DN700118,CityWheels,ARE,Corporate,Luxury,2025-08-29,2025,October,37,5,8637.48,43187.4,1,0,0,Credit Card,None,1,0
DN700119,RoadKing,GBR,Direct,Van,2025-08-23,2025,August,3,4,4774.71,19098.84,3,1,0,Credit Card,None,0,0
DN700120,DriveNow,ARE,Corporate,Van,2026-08-20,2026,August,8,2,3844.09,7688.18,5,0,0,Credit Card,None,1,0
DN700121,EcoRent,ARE,Online TA,Luxury,2024-07-31,2024,August,6,6,8859.89,53159.34,1,1,0,Credit Card,None,1,0
DN700122,PrimeCars,ARE,Direct,Luxury,2025-02-19,2025,March,18,3,7121.59,21364.77,2,2,0,Corporate Billing,None,0,0
DN700123,EcoRent,SGP,Corporate,Hatchback,2025-12-17,2026,February,66,4,2089.61,8358.44,1,2,0,Credit Card,Gold,0,0
DN700124,PrimeCars,GBR,Online TA,SUV,2024-08-15,2024,September,17,6,3762.5,22575.0,5,0,0,Credit Card,None,0,0
DN700125,EcoRent,DEU,Corporate,Hatchback,2023-11-27,2024,February,76,4,1760.33,7041.32,1,1,0,Debit Card,Platinum,0,0
DN700126,DriveNow,SGP,Direct,Premium SUV,2025-05-24,2025,June,18,5,5508.41,27542.05,1,2,0,Cash,None,0,0
DN700127,RoadKing,DEU,Online TA,Hatchback,2025-03-12,2025,July,111,2,1494.78,2989.56,2,2,1,Credit Card,Silver,1,0
DN700128,EcoRent,IND,Direct,Luxury,2024-01-04,2024,April,88,7,8254.01,57778.07,4,2,0,Corporate Billing,None,0,1
DN700129,EcoRent,THA,Online TA,Luxury,2024-09-16,2024,October,26,4,10291.4,41165.6,2,0,0,UPI,None,0,0
DN700130,RoadKing,IND,Loyalty Club,SUV,2026-02-25,2026,May,76,7,4024.07,28168.49,2,0,0,UPI,Platinum,0,1
DN700131,CityWheels,GBR,Corporate,Premium SUV,2025-08-08,2025,October,67,3,6095.57,18286.71,4,0,0,UPI,None,0,0
DN700132,DriveNow,IND,Offline TA/TO,Sedan,2026-04-19,2026,July,73,10,2009.87,20098.7,2,0,1,UPI,None,0,0
DN700133,DriveNow,IND,Online TA,SUV,2024-03-25,2024,April,20,7,3731.61,26121.27,1,0,0,Debit Card,None,0,0
DN700134,PrimeCars,IND,Online TA,Premium SUV,2026-05-20,2026,June,28,4,3828.06,15312.24,2,2,0,Credit Card,Silver,0,0
DN700135,DriveNow,THA,Corporate,Premium SUV,2025-07-31,2025,August,20,4,5338.5,21354.0,2,0,0,Credit Card,Silver,1,0
DN700136,EcoRent,IND,Offline TA/TO,Premium SUV,2024-05-26,2024,June,10,11,5980.99,65790.89,2,0,0,Debit Card,None,0,0
DN700137,RoadKing,IND,Direct,Hatchback,2024-09-23,2024,December,82,5,2084.67,10423.35,3,0,1,UPI,None,0,0
DN700138,DriveNow,USA,Corporate,Van,2026-03-24,2026,March,1,5,3537.25,17686.25,2,0,0,Credit Card,Silver,0,0
DN700139,CityWheels,ARE,Corporate,Hatchback,2025-06-09,2025,August,72,3,1967.33,5901.99,4,1,0,Credit Card,None,1,1
DN700140,PrimeCars,DEU,Corporate,Hatchback,2024-02-19,2024,March,16,3,2049.31,6147.93,2,0,0,Cash,Silver,0,0
DN700141,RoadKing,IND,Loyalty Club,SUV,2024-06-17,2024,August,62,3,2431.86,7295.58,2,0,0,Credit Card,Platinum,0,0
DN700142,PrimeCars,AUS,Corporate,Sedan,2024-12-01,2025,January,52,1,2300.33,2300.33,2,3,0,Corporate Billing,None,0,1
DN700143,PrimeCars,IND,Online TA,Hatchback,2024-05-26,2024,November,165,11,1634.94,17984.34,1,0,1,Credit Card,Silver,0,0
DN700144,CityWheels,ARE,Online TA,SUV,2026-11-07,2026,December,47,2,4077.97,8155.94,3,0,0,Credit Card,None,0,0
DN700145,DriveNow,ARE,Direct,SUV,2024-12-18,2025,March,88,6,3228.46,19370.76,2,0,0,Corporate Billing,None,0,0
DN700146,PrimeCars,DEU,Corporate,Premium SUV,2024-07-23,2024,August,29,10,4287.92,42879.2,3,0,0,UPI,None,0,0
DN700147,CityWheels,GBR,Online TA,Premium SUV,2025-12-19,2026,January,31,6,6084.22,36505.32,2,0,0,Credit Card,Gold,0,0
DN700148,CityWheels,USA,Direct,SUV,2025-07-03,2025,October,93,2,3822.95,7645.9,2,0,0,Corporate Billing,Silver,1,0
DN700149,RoadKing,IND,Direct,Sedan,2025-06-13,2025,June,1,2,2734.57,5469.14,4,0,0,Debit Card,None,0,1
DN700150,EcoRent,ARE,Corporate,Luxury,2024-09-09,2024,September,12,3,8830.32,26490.96,1,3,0,Credit Card,Gold,0,1
DN700151,RoadKing,SGP,Online TA,Premium SUV,2025-07-19,2025,July,3,9,5948.98,53540.82,2,0,1,UPI,None,0,0
DN700152,EcoRent,JPN,Offline TA/TO,Van,2026-02-20,2026,May,82,2,3696.3,7392.6,5,3,0,Debit Card,Gold,0,0
DN700153,DriveNow,DEU,Direct,Sedan,2024-01-23,2024,February,33,3,2111.64,6334.92,2,0,0,Cash,None,0,0
DN700154,RoadKing,IND,Online TA,Hatchback,2024-04-02,2024,June,87,7,1625.84,11380.88,2,0,0,Debit Card,None,1,0
DN700155,EcoRent,USA,Loyalty Club,Sedan,2026-04-30,2026,July,65,6,2584.02,15504.12,1,0,0,Debit Card,None,0,0
DN700156,RoadKing,AUS,Offline TA/TO,Sedan,2025-09-22,2025,October,36,6,2788.5,16731.0,2,0,1,Credit Card,None,0,0
DN700157,CityWheels,USA,Corporate,Sedan,2024-07-08,2024,July,7,11,2609.35,28702.85,2,0,0,Corporate Billing,None,0,0
DN700158,RoadKing,SGP,Corporate,Sedan,2026-09-19,2026,December,86,3,2682.47,8047.41,2,1,0,Credit Card,None,1,1
DN700159,RoadKing,GBR,Online TA,Sedan,2024-07-14,2024,July,9,2,3209.9,6419.8,4,0,0,Debit Card,Gold,1,0
DN700160,CityWheels,IND,Offline TA/TO,SUV,2026-11-18,2026,December,24,5,3610.26,18051.3,2,0,0,Credit Card,None,1,0
DN700161,EcoRent,ARE,Direct,Sedan,2024-02-20,2024,April,55,3,2096.55,6289.65,3,0,1,UPI,Silver,0,0
DN700162,EcoRent,IND,Corporate,Van,2025-10-26,2025,December,43,8,3898.05,31184.4,2,0,0,Corporate Billing,None,0,0
DN700163,RoadKing,IND,Loyalty Club,SUV,2024-03-18,2024,May,58,3,3854.15,11562.45,3,0,0,Corporate Billing,None,0,0
DN700164,CityWheels,USA,Offline TA/TO,Sedan,2025-08-14,2025,September,19,11,2302.34,25325.74,1,0,0,Corporate Billing,None,0,0
DN700165,CityWheels,IND,Offline TA/TO,Sedan,2024-03-30,2024,May,55,8,2185.11,17480.88,2,0,1,Corporate Billing,None,0,0
DN700166,PrimeCars,ARE,Online TA,Sedan,2025-04-17,2025,June,59,6,2496.11,14976.66,2,0,0,Corporate Billing,None,1,0
DN700167,CityWheels,THA,Corporate,SUV,2024-01-13,2024,February,19,5,3509.26,17546.3,1,0,0,Debit Card,Silver,0,0
DN700168,PrimeCars,AUS,Online TA,Premium SUV,2026-04-23,2026,July,92,4,4098.29,16393.16,1,0,0,UPI,Silver,0,0
DN700169,EcoRent,SGP,Corporate,Van,2025-03-22,2025,May,44,4,3733.48,14933.92,2,1,0,Credit Card,None,0,0
DN700170,CityWheels,ARE,Online TA,Hatchback,2024-06-30,2024,July,13,2,1989.69,3979.38,2,0,0,Credit Card,None,0,0
DN700171,RoadKing,IND,Online TA,SUV,2024-07-14,2024,August,18,6,3342.76,20056.56,2,0,0,Credit Card,Platinum,1,0
DN700172,RoadKing,ZAF,Online TA,SUV,2024-07-17,2024,October,76,5,3006.88,15034.4,3,1,0,Debit Card,Silver,0,0
DN700173,PrimeCars,ARE,Online TA,Luxury,2024-05-31,2024,June,14,2,7344.26,14688.52,1,0,0,Credit Card,Gold,1,0
DN700174,CityWheels,AUS,Corporate,SUV,2024-09-20,2024,October,16,4,3527.14,14108.56,2,0,0,Debit Card,None,0,0
DN700175,CityWheels,USA,Direct,Sedan,2024-08-18,2024,September,37,5,3327.73,16638.65,3,0,0,Corporate Billing,Silver,0,0
DN700176,CityWheels,THA,Corporate,Hatchback,2024-04-17,2024,July,87,10,1060.8,10608.0,2,0,0,Debit Card,None,0,0
DN700177,EcoRent,FRA,Direct,Sedan,2025-07-01,2025,September,70,1,2078.49,2078.49,4,0,0,Debit Card,None,0,0
DN700178,CityWheels,IND,Online TA,Premium SUV,2024-10-15,2025,January,89,3,5083.18,15249.54,1,0,0,UPI,Gold,0,0
DN700179,DriveNow,IND,Online TA,Sedan,2024-11-15,2025,February,82,7,2096.35,14674.45,3,0,0,UPI,None,0,0
DN700180,RoadKing,GBR,Direct,Hatchback,2024-11-01,2024,November,23,11,2160.5,23765.5,3,1,0,Debit Card,Gold,0,0
DN700181,DriveNow,IND,Online TA,SUV,2024-11-15,2025,January,49,3,3308.86,9926.58,2,0,0,Debit Card,None,0,0
DN700182,PrimeCars,ARE,Offline TA/TO,Hatchback,2023-10-30,2024,January,71,6,1324.48,7946.88,5,0,0,UPI,None,0,1
DN700183,CityWheels,ARE,Direct,Premium SUV,2026-05-28,2026,August,89,3,4964.58,14893.74,2,0,0,Debit Card,Gold,0,0
DN700184,EcoRent,THA,Online TA,SUV,2024-12-01,2024,December,21,5,4366.69,21833.45,3,0,1,Cash,None,0,0
DN700185,RoadKing,AUS,Direct,Sedan,2024-05-31,2024,October,130,3,2316.1,6948.3,2,0,1,Credit Card,None,0,0
DN700186,RoadKing,IND,Online TA,Sedan,2025-08-18,2025,September,40,5,1381.35,6906.75,1,1,0,Credit Card,None,0,0
DN700187,EcoRent,IND,Online TA,SUV,2025-12-16,2026,January,28,4,3385.56,13542.24,2,1,0,Corporate Billing,None,0,0
DN700188,PrimeCars,IND,Direct,SUV,2024-08-29,2024,November,72,6,3556.92,21341.52,3,0,0,Corporate Billing,Silver,0,0
DN700189,DriveNow,ARE,Corporate,Sedan,2025-12-05,2025,December,16,2,2553.17,5106.34,1,0,0,Credit Card,None,0,0
DN700190,RoadKing,IND,Online TA,Premium SUV,2025-07-09,2025,September,67,7,4711.08,32977.56,3,0,1,Cash,None,0,0
DN700191,EcoRent,SGP,Offline TA/TO,Sedan,2025-02-12,2025,March,38,6,1809.63,10857.78,1,0,0,Debit Card,None,1,0
DN700192,CityWheels,ARE,Online TA,SUV,2025-07-18,2025,November,128,7,3090.89,21636.23,2,0,0,Cash,None,1,0
DN700193,RoadKing,FRA,Offline TA/TO,Van,2025-09-04,2025,September,22,7,4936.71,34556.97,3,0,0,Credit Card,None,0,0
DN700194,DriveNow,ARE,Corporate,SUV,2025-04-16,2025,May,42,2,2583.11,5166.22,4,0,0,UPI,None,0,0
DN700195,RoadKing,IND,Direct,Sedan,2025-05-21,2025,August,83,12,2550.68,30608.16,2,0,0,Corporate Billing,None,1,0
DN700196,PrimeCars,AUS,Online TA,Hatchback,2026-03-29,2026,April,30,10,1827.95,18279.5,2,0,0,Credit Card,Silver,0,0
