booking_id,airline,travel_year,travel_month,lead_time,adults,children,infants,country,agent,corporate_account,cabin_class,fare,is_cancelled,booking_channel,reservation_status,reservation_status_date,checked_bags,seat_changes
AL504437,AirAsia India,2026,June,1,2,0,0,IND,165,,Economy,8696.63,0,Corporate Desk,Check-Out,2026-06-22,2,0
AL505667,SpiceJet,2025,April,110,1,0,1,IND,160,,Premium Economy,6614.83,0,Mobile App,Check-Out,2025-05-10,0,0
AL515165,AirAsia India,2026,November,27,3,0,0,GBR,88,,Premium Economy,15353.12,0,Mobile App,Check-Out,2026-11-27,3,2
AL505672,IndiGo,2026,December,42,1,NA,0,SGP,,,Premium Economy,12627.61,0,Travel Agent,Check-Out,2027-01-04,3,1
AL512104,SpiceJet,2025,July,73,3,0,0,THA,314,,Business,11638.23,0,Airport Counter,Check-Out,2025-07-19,3,2
AL515399,Air India,2025,May,39,1,0,0,SGP,,,Premium Economy,17961.15,0,Corporate Desk,Check-Out,2025-06-04,0,0
AL505224,Air India,2025,November,147,4,0,0,IND,271,,Economy,9702.96,0,Website,Check-Out,2025-12-18,2,1
AL511227,Air India,2025,June,65,1,0,0,ARE,162,,Economy,8911.0,0,Corporate Desk,Check-Out,2025-07-07,2,1
AL507631,Air India,2025,November,72,2,0,0,IND,153,,Economy,6413.76,0,Airport Counter,Check-Out,2025-11-13,0,1
AL510651,Air India,2025,January,61,2,2,0,AUS,187,,Premium Economy,9528.01,0,Travel Agent,Check-Out,2025-03-02,1,0
AL507936,Vistara,2025,July,26,2,0,0,NPL,255,,Economy,5973.69,0,Travel Agent,Check-Out,2025-07-25,2,2
AL502750,IndiGo,2024,December,62,2,0,0,IND,152,,Economy,11239.03,0,Mobile App,Check-Out,2024-12-16,1,0
AL501470,Vistara,2025,April,168,4,NA,0,IND,208,,Premium Economy,15918.84,1,Travel Agent,Canceled,2025-04-30,3,0
AL506649,AirAsia India,2026,January,96,1,0,0,IND,111,C582,Business,31253.92,0,Corporate Desk,Check-Out,2026-01-26,2,0
AL502633,Air India,2025,November,83,1,0,0,IND,20,,Business,24804.45,0,Website,Check-Out,2025-11-13,3,0
AL502053,Vistara,2025,June,107,1,0,0,MYS,105,,Economy,8622.92,0,Corporate Desk,Check-Out,2025-06-26,0,0
AL509096,AirAsia India,2024,March,109,2,0,0,IND,,,Economy,3864.39,1,Corporate Desk,Canceled,2024-04-05,3,2
AL505420,Akasa Air,2024,November,154,1,,0,GBR,,,Business,48615.65,0,Mobile App,Check-Out,2024-12-11,3,2
AL511197,Akasa Air,2024,July,109,2,0,0,SGP,,,Economy,10053.07,0,Website,Check-Out,2024-08-09,3,2
AL502395,Akasa Air,2026,September,69,2,0,0,IND,,,Economy,11183.75,0,Travel Agent,Check-Out,2026-09-30,0,1
AL514885,Air India,2025,April,99,1,0,0,IND,4,,Premium Economy,15874.86,0,Travel Agent,No-Show,2025-04-29,3,2
AL505153,Akasa Air,2026,March,18,1,1,0,NPL,218,,Premium Economy,7398.49,0,Airport Counter,Check-Out,2026-04-24,0,1
AL501510,IndiGo,2025,December,87,1,0,0,AUS,114,,Economy,7029.7,0,Travel Agent,Check-Out,2026-01-08,0,1
AL509508,IndiGo,2024,March,15,2,0,0,USA,236,,Premium Economy,16625.66,1,Corporate Desk,Canceled,2024-04-05,1,1
AL513097,SpiceJet,2024,December,114,2,0,0,IND,150,,Business,22892.88,0,Website,Check-Out,2024-12-23,0,2
AL510141,SpiceJet,2026,October,65,2,0,0,IND,25,,Business,29493.78,0,Mobile App,No-Show,2026-11-15,1,1
AL515736,Vistara,2026,December,63,2,0,0,USA,,,Economy,8568.84,1,Travel Agent,Canceled,2027-01-06,3,2
AL503759,SpiceJet,2026,July,20,2,,0,IND,309,,Business,21628.95,0,Mobile App,Check-Out,2026-07-08,3,0
AL503922,SpiceJet,2024,February,71,1,0,0,ARE,34,,Economy,4870.46,1,Corporate Desk,Canceled,2024-02-25,1,1
AL509553,SpiceJet,2025,March,7,1,0,0,LKA,85,,Premium Economy,20609.36,0,Travel Agent,Check-Out,2025-04-12,3,0
AL506850,Vistara,2024,December,114,3,0,0,IND,297,,Economy,5262.58,0,Travel Agent,Check-Out,2025-01-21,0,2
AL515293,Air India,2025,April,118,1,0,0,AUS,84,,Economy,10675.64,0,Mobile App,Check-Out,2025-05-07,2,1
AL510381,AirAsia India,2024,February,53,2,0,0,AUS,126,,Premium Economy,11049.64,0,Airport Counter,Check-Out,2024-03-13,1,2
AL504207,AirAsia India,2025,June,80,4,0,0,IND,164,,Economy,5836.57,0,Corporate Desk,Check-Out,2025-07-03,0,0
AL500521,Air India,2025,April,83,1,0,0,AUS,78,,Economy,8893.0,0,Travel Agent,Check-Out,2025-04-27,0,0
AL508550,AirAsia India,2025,October,7,2,0,0,SGP,,,Economy,3953.15,1,Website,Canceled,2025-11-24,1,1
AL502546,Air India,2026,December,16,2,0,0,,,,Economy,7295.75,1,Travel Agent,Canceled,2027-01-27,1,2
AL510092,SpiceJet,2024,October,56,1,0,0,IND,,,Economy,8773.04,0,Travel Agent,Check-Out,2024-11-10,1,2
AL511656,IndiGo,2025,April,93,1,0,0,IND,75,,Economy,2210.42,0,Travel Agent,Check-Out,2025-04-30,2,2
AL509227,IndiGo,2025,May,38,1,,0,QAT,,,Economy,9186.56,0,Travel Agent,Check-Out,2025-06-23,2,0
AL507834,AirAsia India,2024,September,50,2,0,0,MYS,20,C519,First,40576.67,0,Mobile App,No-Show,2024-10-08,2,0
AL503738,AirAsia India,2025,January,78,2,0,0,GBR,190,,Economy,5076.77,1,Travel Agent,Canceled,2025-02-02,0,2
AL507843,SpiceJet,2026,September,52,1,0,0,IND,72,,Economy,8769.36,0,Corporate Desk,Check-Out,2026-09-23,3,0
AL514624,AirAsia India,2025,October,78,3,0,0,IND,308,C823,Economy,7552.46,0,Website,Check-Out,2025-10-14,0,1
AL503903,Vistara,2025,December,49,1,0,0,NPL,321,,Economy,9488.95,0,Website,Check-Out,2025-12-22,2,2
AL503817,SpiceJet,2026,August,34,1,0,0,LKA,317,,Economy,9136.72,0,Travel Agent,Check-Out,2026-09-19,3,1
AL512077,AirAsia India,2025,February,51,2,0,0,SGP,49,,Premium Economy,17282.17,0,Website,Check-Out,2025-02-17,1,0
AL514558,Vistara,2025,July,114,1,0,0,DEU,144,,Economy,5150.92,1,Airport Counter,Canceled,2025-07-10,2,2
AL501567,AirAsia India,2025,January,6,1,0,0,ARE,285,,Economy,11495.01,0,Travel Agent,Check-Out,2025-02-22,0,0
AL504448,Air India,2025,June,36,1,0,0,MYS,256,,Economy,NA,0,Website,No-Show,2025-06-21,2,0
AL503607,Air India,2025,January,48,1,1,0,DEU,48,,Economy,8758.65,1,Website,Canceled,2025-01-08,0,2
AL514969,AirAsia India,2025,November,68,1,0,0,IND,252,,Economy,10821.89,0,Mobile App,Check-Out,2025-11-29,1,0
AL500387,IndiGo,2025,March,36,1,0,0,IND,,,Economy,6113.55,0,Website,Check-Out,2025-04-12,1,1
AL513462,Vistara,2024,August,6,2,0,0,NPL,190,C270,Economy,7105.97,1,Website,Canceled,2024-08-25,0,2
AL515365,Akasa Air,2025,December,1,2,0,0,THA,38,,Business,NA,0,Corporate Desk,Check-Out,2026-01-10,2,0
AL504511,Air India,2025,November,78,3,2,0,IND,114,,Business,25645.27,0,Corporate Desk,Check-Out,2025-11-02,2,0
AL515224,Akasa Air,2026,October,6,2,0,1,USA,195,,Economy,7752.5,0,Website,Check-Out,2026-11-10,1,2
AL505714,Vistara,2025,June,89,1,0,0,IND,230,,Economy,4173.39,0,Mobile App,Check-Out,2025-07-11,2,2
AL505870,Vistara,2025,July,68,1,0,0,IND,121,,Economy,7944.08,0,Corporate Desk,Check-Out,2025-07-31,1,1
AL512781,Air India,2025,January,133,1,0,0,IND,70,,Economy,9032.22,0,Airport Counter,No-Show,2025-03-06,2,1
AL510315,SpiceJet,2024,November,11,1,0,0,SGP,30,,Economy,9784.67,0,Website,Check-Out,2024-12-17,2,0
AL506518,Air India,2025,December,132,2,0,0,THA,135,,Business,31732.03,0,Mobile App,Check-Out,2026-01-10,1,1
AL513568,AirAsia India,2025,September,147,1,0,0,GBR,322,,Economy,6948.34,0,Mobile App,Check-Out,2025-10-12,3,1
AL509932,Air India,2025,May,52,2,0,1,IND,17,C211,Premium Economy,9000.32,0,Travel Agent,No-Show,2025-06-10,3,0
AL506776,SpiceJet,2026,January,4,2,0,0,IND,189,,Economy,11122.35,0,Mobile App,Check-Out,2026-02-27,1,1
AL502430,Akasa Air,2025,November,57,1,0,0,GBR,126,,Premium Economy,17688.49,0,Airport Counter,Check-Out,2025-11-23,0,0
AL503288,SpiceJet,2026,March,14,2,0,0,AUS,236,,Business,28905.18,0,Corporate Desk,Check-Out,2026-04-21,3,1
AL513288,SpiceJet,2024,February,75,2,0,0,IND,142,,Economy,8961.66,0,Travel Agent,No-Show,2024-03-03,0,1
AL501453,Vistara,2025,June,88,1,0,0,NPL,179,,Business,23396.21,1,Travel Agent,Canceled,2025-07-29,0,1
AL506210,Vistara,2024,January,87,1,0,0,IND,,C705,Economy,6765.61,0,Airport Counter,Check-Out,2024-01-14,2,1
AL512793,Akasa Air,2024,May,39,2,0,0,ARE,163,,Premium Economy,12731.69,0,Website,Check-Out,2024-06-07,1,1
AL510322,Vistara,2025,July,40,2,0,0,THA,285,,Economy,3993.95,0,Corporate Desk,Check-Out,2025-08-10,3,2
AL512687,Vistara,2024,May,3,1,0,0,IND,138,,Economy,5789.52,0,Airport Counter,Check-Out,2024-05-19,2,0
AL508130,SpiceJet,2025,May,115,1,0,0,QAT,184,,Economy,6824.81,1,Website,Canceled,2025-06-04,2,1
AL505457,AirAsia India,2024,May,73,1,0,0,IND,189,,Economy,4860.04,0,Mobile App,Check-Out,2024-06-24,1,1
AL502334,SpiceJet,2026,June,13,1,0,0,ARE,96,,Economy,3626.25,1,Mobile App,Canceled,2026-07-03,1,2
AL513235,Vistara,2026,December,148,2,0,0,SGP,169,,Economy,5852.59,0,Airport Counter,No-Show,2027-01-15,3,1
AL514417,Akasa Air,2025,September,134,1,0,0,IND,,,Premium Economy,14475.64,0,Website,Check-Out,2025-09-19,1,2
AL510503,Vistara,2025,October,43,2,0,0,GBR,,,Economy,8350.59,0,Website,Check-Out,2025-11-27,3,1
AL513363,IndiGo,2024,April,128,2,0,0,USA,152,,Economy,10334.58,0,Travel Agent,No-Show,2024-05-07,1,2
AL502964,Akasa Air,2025,May,38,1,0,0,SGP,206,,Economy,7736.52,0,Mobile App,Check-Out,2025-05-24,1,0
AL513093,AirAsia India,2025,February,64,4,0,0,USA,,,Premium Economy,13098.0,0,Airport Counter,Check-Out,2025-04-08,0,2
AL503683,Vistara,2025,July,44,2,0,1,QAT,106,,Economy,10255.85,0,Airport Counter,Check-Out,2025-08-09,3,2
AL514779,Akasa Air,2026,October,52,2,0,0,IND,,,Premium Economy,12223.01,0,Travel Agent,Check-Out,2026-11-27,0,2
AL503248,SpiceJet,2025,July,17,1,0,0,IND,114,,Premium Economy,13276.63,0,Mobile App,Check-Out,2025-07-11,1,2
AL515546,SpiceJet,2025,March,76,2,0,0,IND,,,Economy,8273.42,1,Corporate Desk,Canceled,2025-03-24,1,2
AL510952,Akasa Air,2024,April,142,2,0,0,ARE,,,Economy,7353.68,0,Airport Counter,Check-Out,2024-05-04,2,2
AL510935,Akasa Air,2024,June,20,2,0,0,,,,Premium Economy,19085.1,0,Travel Agent,Check-Out,2024-06-24,1,0
AL507616,AirAsia India,2025,January,95,2,0,0,THA,207,,Business,13410.95,0,Corporate Desk,Check-Out,2025-01-26,3,2
AL501121,IndiGo,2026,June,11,2,0,0,IND,,,Economy,6271.86,0,Website,Check-Out,2026-07-02,2,1
AL507032,Air India,2025,May,52,3,1,0,USA,214,,Premium Economy,12879.74,0,Travel Agent,Check-Out,2025-07-02,2,2
AL509284,IndiGo,2024,November,69,1,0,0,USA,257,,Economy,7510.55,0,Travel Agent,Check-Out,2024-11-10,1,2
AL508622,AirAsia India,2024,March,61,1,1,0,QAT,87,,Economy,7762.32,1,Corporate Desk,Canceled,2024-03-17,1,2
AL507519,Akasa Air,2024,May,48,1,0,0,DEU,23,,Economy,9437.39,0,Corporate Desk,Check-Out,2024-05-27,3,2
AL506005,Vistara,2026,September,64,1,0,0,IND,232,,Economy,7210.71,0,Airport Counter,Check-Out,2026-10-08,2,1
AL514519,Akasa Air,2025,April,73,2,0,0,QAT,257,,Business,23188.36,0,Travel Agent,Check-Out,2025-04-18,0,1
AL512421,Air India,2024,June,52,1,0,0,USA,284,,Economy,8094.2,0,Mobile App,Check-Out,2024-07-08,2,1
AL501825,IndiGo,2026,April,23,2,0,0,IND,324,,Economy,11817.33,0,Airport Counter,Check-Out,2026-05-07,0,0
AL515716,SpiceJet,2024,April,24,2,0,0,MYS,276,,Premium Economy,15109.6,1,Airport Counter,Canceled,2024-05-05,1,0
AL510066,SpiceJet,2026,April,55,2,0,0,SGP,220,,Premium Economy,16386.48,0,Website,Check-Out,2026-04-26,0,1
AL505967,IndiGo,2025,August,98,3,0,0,ARE,36,,Economy,5188.04,1,Travel Agent,Canceled,2025-09-21,2,1
AL508322,AirAsia India,2025,January,11,1,0,0,ARE,203,,Economy,10237.25,0,Airport Counter,Check-Out,2025-01-18,2,2
AL513558,Vistara,2024,January,3,1,0,0,THA,211,,Economy,9334.9,0,Corporate Desk,Check-Out,2024-01-14,0,1
AL514684,SpiceJet,2025,August,119,2,,0,MYS,260,,Economy,5258.27,0,Airport Counter,No-Show,2025-09-28,3,1
AL514277,IndiGo,2026,May,41,2,0,0,IND,,,Economy,11054.88,0,Website,Check-Out,2026-05-28,3,0
AL511412,Air India,2026,February,52,1,0,0,THA,263,,Economy,6655.17,0,Mobile App,Check-Out,2026-02-28,3,0
AL515605,SpiceJet,2024,July,82,1,0,0,AUS,142,,Economy,9980.78,1,Website,Canceled,2024-08-08,2,0
AL503603,SpiceJet,2026,September,109,1,0,0,ARE,127,,Economy,6550.59,0,Website,Check-Out,2026-09-19,0,0
AL506847,AirAsia India,2025,March,31,2,2,0,IND,91,,Economy,4572.68,0,Airport Counter,Check-Out,2025-04-17,2,0
AL503867,SpiceJet,2026,April,111,1,NA,0,SGP,27,,Economy,11857.79,0,Website,Check-Out,2026-04-03,0,2
AL503628,SpiceJet,2025,July,6,1,0,0,QAT,177,,Business,31354.75,0,Corporate Desk,Check-Out,2025-08-02,2,2
AL510680,Air India,2025,August,71,2,0,0,IND,127,,Economy,6008.23,0,Travel Agent,Check-Out,2025-10-04,1,2
AL513833,Akasa Air,2024,September,112,4,0,0,LKA,309,,First,25277.06,0,Website,Check-Out,2024-10-14,3,2
AL514141,AirAsia India,2024,November,63,2,0,0,ARE,134,,Economy,9523.74,0,Corporate Desk,Check-Out,2024-12-31,0,2
AL500075,Akasa Air,2025,February,26,1,0,0,IND,304,,Economy,4296.81,0,Corporate Desk,Check-Out,2025-02-26,0,2
AL507997,IndiGo,2025,November,13,1,0,0,DEU,123,C181,Economy,7731.83,0,Mobile App,Check-Out,2025-11-27,3,0
AL509539,IndiGo,2026,February,10,1,0,0,GBR,249,,Premium Economy,12490.45,1,Airport Counter,Canceled,2026-02-10,0,0
AL505556,AirAsia India,2025,July,16,2,1,0,SGP,92,,Economy,6504.74,0,Website,Check-Out,2025-07-27,1,1
AL512913,Vistara,2026,April,61,1,0,0,THA,125,,Business,29614.88,0,Website,Check-Out,2026-04-26,0,1
AL510147,Vistara,2024,April,61,1,3,0,ARE,36,,Economy,8380.59,0,Airport Counter,Check-Out,2024-05-06,2,1
AL504473,Vistara,2025,August,70,1,0,0,IND,5,,Economy,8103.31,0,Travel Agent,Check-Out,2025-08-28,1,2
AL500288,AirAsia India,2026,July,36,1,0,0,MYS,108,,Premium Economy,11293.1,0,Mobile App,Check-Out,2026-07-13,2,2
AL505944,Air India,2024,October,69,1,0,0,SGP,180,,Premium Economy,10530.69,0,Website,Check-Out,2024-11-09,3,0
AL505855,SpiceJet,2024,December,14,1,1,0,ARE,202,,Economy,9318.82,1,Corporate Desk,Canceled,2025-01-29,0,0
AL501688,Akasa Air,2024,November,44,1,0,0,IND,263,,Business,27156.84,0,Corporate Desk,Check-Out,2024-12-10,0,1
AL505396,Air India,2025,April,48,1,0,0,AUS,77,,Economy,9644.32,0,Mobile App,Check-Out,2025-04-20,1,1
AL510342,IndiGo,2024,September,33,3,0,0,IND,85,,Economy,8555.22,0,Corporate Desk,Check-Out,2024-09-12,0,2
AL514121,Vistara,2026,January,27,2,0,0,DEU,241,,Business,20595.13,0,Airport Counter,Check-Out,2026-02-01,2,2
AL512720,Vistara,2024,September,36,2,0,1,GBR,205,,Business,28471.91,0,Mobile App,Check-Out,2024-10-13,1,0
AL505116,SpiceJet,2024,January,57,1,0,0,USA,213,,First,59651.42,1,Mobile App,Canceled,2024-01-15,3,1
AL505873,Akasa Air,2026,September,210,1,NA,0,SGP,,,Economy,7917.88,0,Corporate Desk,Check-Out,2026-10-10,3,1
AL501960,Akasa Air,2025,June,56,1,0,0,IND,,C279,Economy,9207.76,0,Mobile App,No-Show,2025-07-22,3,0
AL501867,SpiceJet,2025,October,73,2,0,0,QAT,216,,Economy,6084.52,0,Airport Counter,Check-Out,2025-11-16,0,1
AL503737,Vistara,2025,February,22,1,0,0,THA,331,,Economy,NA,1,Mobile App,Canceled,2025-04-01,1,1
AL503588,Vistara,2026,June,6,1,0,0,THA,124,,Premium Economy,16510.16,0,Airport Counter,Check-Out,2026-07-03,1,1
AL508120,Akasa Air,2024,March,3,2,0,0,IND,279,,Economy,4243.31,0,Travel Agent,No-Show,2024-04-10,1,0
AL515154,SpiceJet,2024,January,24,2,0,0,IND,198,,Economy,6919.74,0,Website,Check-Out,2024-01-11,3,2
AL501992,Air India,2025,December,17,1,0,0,SGP,140,,Economy,9508.58,0,Corporate Desk,Check-Out,2025-12-23,1,0
AL514513,Vistara,2024,November,57,1,0,0,SGP,4,,Business,24334.95,0,Corporate Desk,No-Show,2024-12-08,0,1
AL513621,SpiceJet,2026,July,82,2,0,0,,302,,Economy,8246.91,0,Airport Counter,Check-Out,2026-07-18,0,1
AL515889,Vistara,2026,January,129,3,2,0,USA,296,,Economy,6717.56,0,Corporate Desk,Check-Out,2026-01-13,3,0
AL512800,Akasa Air,2026,June,14,1,0,0,IND,65,,Premium Economy,17257.19,0,Mobile App,Check-Out,2026-07-16,0,2
AL506568,AirAsia India,2025,December,31,1,0,0,IND,205,C460,First,70597.79,0,Corporate Desk,Check-Out,2025-12-08,2,2
AL515179,Akasa Air,2024,August,41,2,0,0,USA,260,,Economy,8645.46,1,Corporate Desk,Canceled,2024-08-09,2,0
AL506933,SpiceJet,2024,March,76,2,0,0,IND,258,,Premium Economy,NA,0,Corporate Desk,Check-Out,2024-04-07,2,2
AL505945,SpiceJet,2025,February,84,1,0,0,IND,,,Premium Economy,15425.26,0,Airport Counter,Check-Out,2025-03-23,3,0
AL512679,AirAsia India,2024,November,39,2,0,0,IND,173,,Economy,10374.78,0,Website,Check-Out,2024-12-20,0,0
AL501571,AirAsia India,2024,November,49,1,0,0,IND,55,,Premium Economy,17174.55,0,Airport Counter,Check-Out,2024-12-05,0,1
AL514293,Vistara,2025,September,88,1,0,0,MYS,68,,Economy,10904.56,0,Corporate Desk,Check-Out,2025-09-25,2,1
AL505185,Air India,2025,July,10,1,0,0,NPL,,,Economy,14102.3,0,Website,Check-Out,2025-07-24,2,1
AL507378,Vistara,2024,July,86,2,1,0,NPL,,,Economy,8250.03,0,Website,Check-Out,2024-08-01,1,0
AL502671,AirAsia India,2025,July,104,2,0,1,DEU,116,,Economy,10645.39,0,Mobile App,Check-Out,2025-08-08,1,0
AL514818,Air India,2025,February,89,1,0,0,IND,321,C620,Business,26242.45,0,Mobile App,Check-Out,2025-02-16,0,0
AL507638,AirAsia India,2026,October,76,1,0,0,ARE,287,,Economy,5734.62,0,Corporate Desk,Check-Out,2026-10-27,0,0
AL500624,IndiGo,2025,September,9,1,0,0,,257,,Premium Economy,10630.02,0,Mobile App,Check-Out,2025-09-07,2,1
AL508542,SpiceJet,2025,July,75,1,0,0,IND,87,,Economy,6050.43,0,Travel Agent,Check-Out,2025-07-16,0,0
AL514233,Vistara,2024,August,58,1,0,0,AUS,188,,Economy,9302.75,0,Corporate Desk,Check-Out,2024-09-15,3,0
AL505992,Air India,2026,July,65,2,0,0,ARE,335,,Economy,3464.36,0,Airport Counter,Check-Out,2026-07-20,2,1
AL512964,SpiceJet,2025,January,6,1,0,0,ARE,159,,Economy,7797.5,0,Mobile App,Check-Out,2025-02-03,2,1
AL511337,Air India,2025,January,83,2,0,0,QAT,140,,Economy,8463.06,0,Airport Counter,Check-Out,2025-01-30,1,2
AL509359,IndiGo,2024,March,50,1,0,0,ARE,20,,Economy,10179.9,1,Mobile App,Canceled,2024-03-16,0,0
AL508347,SpiceJet,2024,January,128,1,0,0,IND,334,,Business,7968.86,0,Mobile App,Check-Out,2024-01-30,2,1
AL514028,Air India,2025,February,11,2,0,0,GBR,319,,First,48886.95,0,Corporate Desk,Check-Out,2025-02-17,0,0
AL500251,Akasa Air,2026,April,37,1,0,0,IND,118,,Economy,8140.08,0,Airport Counter,Check-Out,2026-05-31,2,1
AL511537,Akasa Air,2025,November,19,2,0,0,IND,281,,Economy,11382.36,1,Travel Agent,Canceled,2025-12-26,1,2
AL515289,Vistara,2025,October,175,3,0,0,IND,229,,Economy,4143.28,0,Airport Counter,Check-Out,2025-10-19,2,2
AL514510,IndiGo,2024,October,47,2,0,0,SGP,287,,Premium Economy,6808.93,0,Travel Agent,Check-Out,2024-11-16,1,2
AL500393,Akasa Air,2025,February,27,1,0,0,ARE,53,,Economy,10167.59,0,Website,Check-Out,2025-03-09,0,2
AL506058,IndiGo,2025,July,23,2,0,0,ARE,255,,Economy,4287.17,0,Mobile App,Check-Out,2025-07-15,2,1
AL512129,Air India,2025,August,5,2,0,0,DEU,,,Economy,4600.08,0,Mobile App,Check-Out,2025-09-17,1,0
AL510569,SpiceJet,2025,February,40,2,,0,USA,147,,Economy,5325.46,0,Mobile App,Check-Out,2025-03-08,1,2
AL513756,AirAsia India,2025,January,44,1,0,0,IND,,,Business,34754.87,0,Airport Counter,Check-Out,2025-01-27,3,2
AL506710,Air India,2026,June,60,1,0,0,GBR,239,,Premium Economy,12790.38,0,Website,No-Show,2026-06-30,2,0
AL500826,SpiceJet,2024,January,97,1,0,0,USA,307,,Economy,6534.74,0,Airport Counter,Check-Out,2024-02-16,2,0
AL507572,Vistara,2026,December,7,1,0,0,MYS,329,,Economy,11781.74,0,Corporate Desk,Check-Out,2027-01-14,0,1
AL508852,IndiGo,2026,September,64,1,0,0,GBR,294,,Economy,6267.02,0,Corporate Desk,Check-Out,2026-10-29,2,1
AL505591,AirAsia India,2024,December,56,2,1,0,GBR,101,C842,Economy,11358.36,0,Mobile App,Check-Out,2025-01-30,3,2
AL510714,SpiceJet,2024,November,87,1,0,0,IND,234,,First,56886.79,0,Website,Check-Out,2024-12-13,0,2
